2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
257000,298920.33510843373,342557.98170108575,387035.6077245401,431108.75782279513,473354.55599563714,512428.97059447836,547302.4518011429,577393.1011558268,602574.7784842644,623091.2185813761,639428.562770003,652190.9462778808,662003.8232270612,669451.5296263765,675044.7331323301,679209.385991415,682288.9264462608,684553.3404377778,686210.8302947223
227000,264026.9107767099,302570.66866204847,341856.3539045549,380784.7783104066,418099.1603541231,452612.3592410373,483415.00606560096,509993.12825825956,532235.3101787083,550356.8350893867,564787.0962987964,576059.7074127585,584727.1123445249,591305.4366738811,596245.7370468441,599924.2436577867,602644.3046821059,604644.3901921228,606108.3987428092
276000,321019.5038518588,367883.2799591427,415649.13514386414,462980.61151397455,508349.6399019294,550312.8244516577,587764.5007669862,620079.7506576196,647123.1084111166,669156.3281263027,686701.4915351005,700407.3975591249,710945.7401193343,718944.0551629568,724950.7639864712,729423.3094693795,732730.5202302256,735162.3422600259,736942.3702776006
151000,175630.23580300968,201269.4756298208,227402.24422725898,253297.36354568898,278118.8247289541,301076.94381231995,321566.81020222796,339246.53025108896,354041.99047129933,366096.3969096801,375695.3812384064,383193.9022877821,388959.4447754329,393335.3345275597,396621.61363027955,399068.5497459286,400877.9295462466,402208.38290313014,403182.238811296
240000,279147.3946537902,319898.50431229797,361434.0305598818,402591.83609910833,442043.1651321125,478532.89082752843,511099.5658843358,539199.7831805387,562715.7464444493,581875.0679359154,597131.7317696526,609049.9109209782,618213.6870602907,625168.7436199624,630391.9686838881,634281.1386690256,637156.9741132397,639271.60196524,640819.4524153048
189000,219828.5732898598,251920.07214593465,284629.29906590696,317041.0709280478,348108.9925415386,376844.65152667864,402490.90813391446,424619.82925467426,443138.65032500384,458226.6159995334,470241.23876860144,479626.80485027033,486843.2785599789,492320.3856007204,496433.6753385619,499496.3967018577,501761.1171141762,503426.38654762646,504645.31877705257
190000,220991.6874342506,253252.98258056922,286135.2741932398,318718.5369117941,349950.8390629224,378838.53857179335,404620.4896584325,426866.4950179265,445483.29926852236,460651.0954492664,472729.287650975,482164.51281244104,489419.1689227301,494925.25536580355,499060.30854141136,502139.2347796453,504415.93783964805,506090.01822248165,507315.399828783
195000,226807.25815620457,259917.53475374207,293665.14982990397,327105.8668305255,359160.0716698414,388807.97379736684,415268.39728102286,438099.8238341877,457206.543986115,472773.4926979313,485169.53206284274,494853.05262329476,502298.62073648616,507949.60419121943,512193.47455565905,515353.42516858334,517690.0414670072,519408.1765967575,520665.80508743523
232000,269842.4814986639,309235.22083522135,349386.22954121913,389172.108229138,427308.3929610421,462581.7944666108,494062.9136881913,521226.45707452076,543958.554896301,562479.2323380515,577227.3407106642,588748.2472236123,597606.564158281,604329.785499297,609378.9030610918,613138.4340467248,615918.408309465,617962.5485663987,619458.8040014614
219000,254721.99762158358,291907.3851849719,329808.55288589216,367365.05044043635,403364.3881830527,436661.26288011967,466378.3538694564,492019.8021522416,513478.11863056,530960.9994915228,544882.705239808,555758.0437153926,564119.9894425152,570466.4785532157,575232.6714240479,578781.5390354859,581405.7388783311,583335.3367932815,584747.7503289657
106000,123290.09930542402,141288.50607126494,159633.36349728116,177811.39427710618,195235.73126668303,211352.02678215838,225735.64159891498,238146.57090473792,248532.7880129651,256994.82167169597,263733.1815315966,268997.0439900987,273044.3784516284,276116.1950988167,278423.11950205057,280140.83624548634,281410.9969000142,282344.95753464766,283028.59148342634
156000,181445.80652496364,207934.02780299366,234932.1198639232,261684.69346442042,287328.05733587313,311046.3790378935,332214.7178248183,350479.85906735016,365765.23518889205,378218.79415834503,388135.62565027416,395882.44209863583,401838.89658918895,406359.6833529756,409754.77964452724,412282.7401348667,414152.0331736058,415526.541277406,416532.6440699482
146000,169814.66508105572,194604.92345664793,219872.3685905948,244910.03362695756,268909.5921220351,291107.50858674647,310918.9025796376,328013.2014348277,342318.74575370667,353973.99966101523,363255.13682653866,370505.3624769284,376079.9929616768,380310.9857021438,383488.4476160319,385854.3593569906,387603.82591888745,388890.2245288543,389831.8335526438
139000,161672.8660703202,185274.5504142059,209330.5426992649,233167.77174073356,256016.6664723485,277150.29927094356,296011.83190801117,312286.541092062,325906.2031490769,337002.64351288433,345838.7946499238,352741.4067417332,358048.76042241836,362076.89734656154,365102.01519608515,367354.49281247734,369020.08084058465,370244.80280486814,371141.26619053073
140000,162835.98021471096,186607.46084884048,210836.51782659773,234845.23772447984,257858.51299373232,279144.1863160582,298141.4134325292,314533.20685531426,328250.8520925954,339427.1229626173,348326.84353229735,355279.1147039039,360624.65078516956,364681.76711164473,367728.6483989347,369997.33089026494,371674.9015660565,372908.43447972334,373811.34724226117
