2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
154,180.34061134196395,208.37020365904232,237.79669160226453,268.10189698420913,298.5403844779182,328.23699133759646,356.33550390687157,382.13479409447194,405.16986698489046,425.22841142899625,442.3181947860436,456.60955393003087,468.37390325267745,477.93094110973516,485.609530579272,491.72220679836215,496.5508661334042,500.3405606149871,503.2986016172806
108,126.47263652553315,146.1297532154323,166.7665109937959,188.01951217074406,209.365983919579,230.1921757432495,249.89762611650735,267.9906348194998,284.14510152187125,298.2121326904649,310.19717556423836,320.21968717170995,328.4700100733063,335.17234831072335,340.55733313351544,344.84414502742277,348.23047754810165,350.8881853663546,352.96265567965133
218,255.28735891265026,294.96561297189106,336.6212907096991,379.52086715946484,422.6091156895206,464.6471695558184,504.42298604998706,540.944059172694,573.5521493682215,601.9467122826051,626.1387432685552,646.3693685503034,663.0227981109331,676.5515919605342,687.4212835472812,696.0742927405386,702.9096676433903,708.2743000913454,712.4616568348517
153,179.16956841117198,207.01715038852907,236.25255724121087,266.3609755752207,296.60181055273694,326.10558230293674,354.0216369983854,379.6533993276247,402.5388938226509,422.4671879781586,439.44599871600434,453.6445568265891,465.3325142705172,474.8274934401914,482.4562219391469,488.52920545551564,493.3265098598107,497.09159593566903,500.030428879506
152,177.99852548037998,205.6640971180158,234.7084228801572,264.62005416623236,294.66323662755565,323.97417326827707,351.7077700898992,377.1720045607775,399.9079206604114,419.705964527321,436.5738026459651,450.67955972314735,462.29112528835697,471.7240457706477,479.3029132990217,485.3362041126691,490.1021535862171,493.8426312563509,496.7622561417315
138,161.60392444929235,186.72135133083015,213.09054182540586,240.24715444039518,267.5232016750176,294.134446783041,319.31363337109275,342.4324778249164,363.0742963890577,381.04883621559406,396.3630576654157,409.16960027496276,419.7116795381136,428.27577839703537,435.15659233726973,440.63418531281803,444.96116575590764,448.3571257458976,451.00783781288783
70,81.97300515543816,94.71372893592833,108.0894052737566,121.86449862918596,135.7001747626901,149.1986324261802,161.97068359403255,173.69763367930543,184.16812135676838,193.28564155863467,201.05372490274706,207.54979724092314,212.89722875121703,217.24133686806144,220.73160480876,223.5100939992555,225.70493915154736,227.42752755226687,228.77209164421845
105,122.95950773315724,142.0705934038925,162.1341079106349,182.79674794377894,203.55026214403514,223.79794863927032,242.9560253910488,260.5464505189581,276.2521820351526,289.928462337952,301.5805873541206,311.3246958613847,319.34584312682557,325.86200530209214,331.09740721314,335.2651409988833,338.55740872732105,341.1412913284003,343.1581374663277
252,295.1028185595774,340.969424169342,389.1218589855238,438.71219506506947,488.5206291456843,537.1150767342488,583.0944609385172,625.3114812454995,663.0052368843662,695.8283096110848,723.7934096498894,747.1792700673233,766.4300235043813,782.0688127250212,794.633777311536,804.6363383973198,812.5377809455705,818.7390991881607,823.5795299191864
240,281.0503033900737,324.73278492318286,370.5922466528798,417.821138157209,465.25774204350887,511.53816831833217,555.328058036683,595.5347440433329,631.4335589374916,662.6936282010331,689.3270568094185,711.5993048260221,729.9333557184584,744.8274406904964,756.7940736300343,766.3203222831618,773.8455056624481,779.7515230363435,784.3614570658918
210,245.91901546631448,284.141186807785,324.2682158212698,365.5934958875579,407.1005242880703,447.59589727854063,485.9120507820976,521.0929010379162,552.5043640703052,579.856924675904,603.1611747082412,622.6493917227695,638.6916862536511,651.7240106041843,662.19481442628,670.5302819977666,677.1148174546421,682.2825826568006,686.3162749326553
