Periods,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
1868,349000,408693.9828463988,472215.5914091284,538902.8920077294,607581.5717369415,676562.2998882692,743861.7530962414,807539.5510616766,866006.7736296799,918209.6336216024,963666.9843423356,1002396.428443696,1034783.989101174,1061444.7547739248,1083103.2366707637,1100504.7154036749,1114357.4686534312,1125300.3394841433,1133888.6730820162,1140592.2854833177
1869,525000,614797.5386657862,710352.9670194625,810670.5395531745,913983.7397188948,1017751.3107201756,1118989.7431963517,1214780.126955244,1302732.252594791,1381260.9101757628,1449642.31168976,1507902.936770603,1556623.4793069237,1596729.2156341278,1629310.0265104608,1655487.0360657002,1676325.7049944163,1692787.0436366051,1705706.4566420016,1715790.6873316383
1870,232000,271681.9599437379,313908.35875907674,358239.17176445044,403893.766885302,449749.1506420586,494486.89604105445,536817.1227687936,575683.5859085551,610385.7736395752,640603.8405943321,666349.4882491046,687879.3279984881,705602.2438611764,719999.8593341465,731567.6045090331,740776.3115403897,748050.6554736998,753759.8056017988,758216.0751636955
1871,378000,442654.227839366,511454.136254013,583682.7884782857,658068.2925976042,732780.9437185265,805672.6151013732,874641.6914077757,937967.2218682492,994507.8553265492,1043742.4644166272,1085690.1144748342,1120768.905100985,1149645.035256572,1173103.2190875318,1191950.665967304,1206954.5075959798,1218806.6714183558,1228108.6487822412,1235369.2948787797
1872,170000,199077.29823463556,230019.0559872545,262502.8413791232,295956.6395280231,329557.5672808188,362339.535892152,393357.37444265047,421837.1103640274,447265.43758072326,469407.98664239846,488273.33190667146,504049.507585099,517036.12696724135,527586.1038224349,536062.4688212743,542810.2282839062,548140.5665109007,552323.9954840767,555589.3654216734
1873,164000,192051.04064988368,221900.73636417493,253238.0352128012,285511.1110740928,317926.1237297311,349551.08168419363,379474.17299173336,406948.74176294415,431479.59860728594,452840.64593737264,471040.155486436,486259.5249644485,498787.7930742799,508965.4178051725,517142.61698052345,523652.2202268272,528794.4288693395,532830.2074081681,535980.3289950261
1874,186000,217813.9851273071,251667.90831546672,287208.99115598184,323811.38207183697,360574.7500837194,396442.0804467074,430379.2449784293,461539.426633583,489361.008176556,513587.5618558007,534228.4690272993,551489.4612401671,565698.3506818053,577241.2665351346,586515.4070632766,593898.2497694504,599730.2668883973,604307.4303531663,607880.1292260662
1875,284000,332576.19234492054,384267.1288257664,438534.15853924106,494421.6801526973,550554.9947514855,605320.1658433598,657138.2020100749,704716.1137846105,747196.3780760318,784187.4600378892,815703.6838911453,842059.1773774596,863754.4709335091,881379.1381504206,895539.6537955407,906812.381368408,915717.1817005636,922705.96892634,928161.057527972
1876,220000,257629.4447742342,297671.7195129176,339709.55943180644,383002.7099774416,426486.26353988313,468909.9876251378,509050.7198669594,545906.8487063885,578814.0956927007,607469.1591842804,631883.1354086336,652299.362757187,669105.5760752535,682758.4872996217,693727.9008275315,702460.2954262316,709358.3801905775,714772.2294499816,718998.0023104008
1877,340000,398154.5964692711,460038.111974509,525005.6827582463,591913.2790560462,659115.1345616375,724679.0717843039,786714.7488853009,843674.2207280549,894530.8751614465,938815.9732847968,976546.6638133428,1008099.015170198,1034072.2539344828,1055172.2076448698,1072124.9376425487,1085620.4565678125,1096281.1330218017,1104647.990968153,1111178.7308433468
